invoice_ref,vendor_id,customer_id,company_code,invoice_date,posting_date,baseline_date,currency,gross_amount,tax_amount,tax_code,gl_account,cost_centre,profit_centre,payment_terms,reference,header_text,assignment,item_text
INV-2025-00001,V1005,C2014,4000,2025-03-15,2025-03-17,2025-03-16,USD,150820.99,22623.15,V3,700200,CC2020,PC4000,ZN60,PO-92566,"HVAC maintenance 2025-03",PROJECT-ALPHA,"Emergency repair"
INV-2025-00002,V1006,C2010,1000,2025-01-04,2025-01-06,2025-01-04,CHF,365541.49,18277.07,A2,500300,CC1030,PC2000,ZB01,PO-82744,"Insurance premium",PROJECT-DELTA,"Partial delivery"
INV-2025-00003,V1001,C2014,1000,2025-08-10,2025-08-14,2025-08-10,SGD,169094.80,11836.64,V2,400500,CC1010,PC2002,ZB01,PO-87592,"Security services 2025-08",PROJECT-GAMMA,"Project milestone payment"
INV-2026-00004,V1016,C2008,1000,2026-03-28,2026-03-31,2026-03-30,EUR,235139.71,47027.94,A2,400100,CC2020,PC3000,ZN30,PO-87158,"Equipment rental",FACILITIES,"Volume discount"
INV-2025-00005,V1012,C2009,4000,2025-07-24,2025-07-24,2025-07-25,GBP,24912.50,1245.63,A2,500200,CC1010,PC3001,ZN14,PO-81440,"Audit fees 2025-07",PROJECT-EPSILON,"Debit note"
INV-2026-00006,V1007,C2003,1000,2026-02-12,2026-02-15,2026-02-15,EUR,352577.76,0.00,V0,500300,CC1010,PC2003,ZN90,PO-81997,"Marketing materials",PROJECT-THETA,"Standard order"
INV-2025-00007,V1009,C2012,4000,2025-06-05,2025-06-05,2025-06-06,EUR,479837.02,95967.40,A2,400500,CC3020,PC3001,,PO-85580,"Equipment rental",PROJECT-THETA,"Partial delivery"
INV-2025-00008,V1020,C2013,1000,2025-01-14,2025-01-17,2025-01-16,AUD,118953.31,0.00,V0,400100,CC1020,PC4000,ZB02,PO-96010,"Annual licence renewal",MAINT-Q2,"Project milestone payment"
INV-2025-00009,V9999,C2004,4000,2025-05-23,2025-05-23,2025-05-26,CAD,228078.66,0.00,V0,000000,CC_INVALID,PC4000,ZB01,PO-96787,"Subscription fees",OPEX-2026,"Debit note"
INV-2025-00010,V1006,C2004,3000,2025-12-19,2025-12-23,2025-12-22,USD,108998.97,0.00,V0,400200,CC1030,PC2002,ZB02,PO-82290,"Courier services",FACILITIES,"Debit note"
INV-2025-00011,V1006,C2008,1000,2025-11-05,2025-11-08,2025-11-06,CHF,342718.86,51407.83,A1,400400,CC1030,PC3000,ZN14,PO-80090,"Waste disposal",PROJECT-BETA,"Rebate claim"
